Date,Exercise,Category,Type,Set,Weight,WeightType,Reps,Duration,Note
2025-10-25,Barbell Rows,pull,reps,1,140,lbs,5,,
2025-10-25,Barbell Rows,pull,reps,2,140,lbs,5,,
2025-10-25,Barbell Rows,pull,reps,3,140,lbs,4,,
2025-10-25,Dumbbell Curls,pull,reps,1,25,lbs,10,,
2025-10-25,Dumbbell Curls,pull,reps,2,25,lbs,9,,
2025-10-25,Dumbbell Curls,pull,reps,3,25,lbs,7,,
2025-10-25,Lat Pulldowns,pull,reps,1,110,lbs,9,,Mood:2
2025-10-25,Lat Pulldowns,pull,reps,2,110,lbs,9,,
2025-10-25,Lat Pulldowns,pull,reps,3,110,lbs,8,,
__DAYSPLIT__,2025-10-28,Pull,,,,,,,
2025-10-28,Barbell Rows,pull,reps,1,140,lbs,5,,
2025-10-28,Barbell Rows,pull,reps,2,140,lbs,5,,
2025-10-28,Barbell Rows,pull,reps,3,140,lbs,5,,
2025-10-28,Dumbbell Curls,pull,reps,1,25,lbs,10,,
2025-10-28,Dumbbell Curls,pull,reps,2,25,lbs,9,,
2025-10-28,Dumbbell Curls,pull,reps,3,25,lbs,8,,
2025-10-28,Lat Pulldowns,pull,reps,1,115,lbs,10,,Mood:3
2025-10-28,Lat Pulldowns,pull,reps,2,115,lbs,9,,
2025-10-28,Lat Pulldowns,pull,reps,3,115,lbs,8,,
__DAYSPLIT__,2025-10-29,Push,,,,,,,
2025-10-29,Bench Press,push,reps,1,130,lbs,5,,Mood:2
2025-10-29,Bench Press,push,reps,2,130,lbs,5,,
2025-10-29,Bench Press,push,reps,3,130,lbs,5,,
2025-10-29,Dips,push,reps,1,,bodyweight,7,,
2025-10-29,Dips,push,reps,2,,bodyweight,6,,
2025-10-29,Dips,push,reps,3,,bodyweight,4,,
2025-10-29,Incline Dumbbell Press,push,reps,1,45,lbs,10,,
2025-10-29,Incline Dumbbell Press,push,reps,2,45,lbs,9,,
2025-10-29,Incline Dumbbell Press,push,reps,3,45,lbs,8,,
2025-10-29,Lateral Raises,push,reps,1,20,lbs,12,,
2025-10-29,Lateral Raises,push,reps,2,20,lbs,11,,
2025-10-29,Lateral Raises,push,reps,3,20,lbs,10,,
2025-10-29,Overhead Press,push,reps,1,90,lbs,5,,Mood:4|Form:Brace core
2025-10-29,Overhead Press,push,reps,2,90,lbs,5,,
2025-10-29,Overhead Press,push,reps,3,90,lbs,5,,
2025-10-29,Push Ups,push,reps,1,,bodyweight,16,,
2025-10-29,Push Ups,push,reps,2,,bodyweight,13,,
2025-10-29,Push Ups,push,reps,3,,bodyweight,11,,
2025-10-29,Tricep Pushdowns,push,reps,1,50,lbs,12,,
2025-10-29,Tricep Pushdowns,push,reps,2,50,lbs,11,,
2025-10-29,Tricep Pushdowns,push,reps,3,50,lbs,10,,
__DAYSPLIT__,2025-11-01,Push,,,,,,,
2025-11-01,Bench Press,push,reps,1,130,lbs,5,,General:Skipped legs this week. Again.
2025-11-01,Bench Press,push,reps,2,130,lbs,5,,
2025-11-01,Bench Press,push,reps,3,130,lbs,5,,
2025-11-01,Dips,push,reps,1,,bodyweight,7,,Mood:3
2025-11-01,Dips,push,reps,2,,bodyweight,6,,
2025-11-01,Dips,push,reps,3,,bodyweight,4,,
2025-11-01,Incline Dumbbell Press,push,reps,1,45,lbs,10,,Mood:3|Form:Slow negative
2025-11-01,Incline Dumbbell Press,push,reps,2,45,lbs,9,,
2025-11-01,Incline Dumbbell Press,push,reps,3,45,lbs,7,,
2025-11-01,Lateral Raises,push,reps,1,20,lbs,12,,
2025-11-01,Lateral Raises,push,reps,2,20,lbs,10,,
2025-11-01,Lateral Raises,push,reps,3,20,lbs,10,,
2025-11-01,Overhead Press,push,reps,1,90,lbs,5,,General:Shoulder felt great today
2025-11-01,Overhead Press,push,reps,2,90,lbs,5,,
2025-11-01,Overhead Press,push,reps,3,90,lbs,5,,
2025-11-01,Plank,core,timed,1,,bodyweight,,28,
2025-11-01,Plank,core,timed,2,,bodyweight,,28,
2025-11-01,Plank,core,timed,3,,bodyweight,,23,
2025-11-01,Push Ups,push,reps,1,,bodyweight,16,,
2025-11-01,Push Ups,push,reps,2,,bodyweight,13,,
2025-11-01,Push Ups,push,reps,3,,bodyweight,11,,
2025-11-01,Tricep Pushdowns,push,reps,1,50,lbs,12,,
2025-11-01,Tricep Pushdowns,push,reps,2,50,lbs,11,,
2025-11-01,Tricep Pushdowns,push,reps,3,50,lbs,9,,
__DAYSPLIT__,2025-11-02,Mobility,,,,,,,
2025-11-02,Hip Flexor Stretches,mobility,timed,1,,bodyweight,,38,Mood:3
2025-11-02,Pigeon Stretch,mobility,timed,1,,bodyweight,,49,Mood:3
2025-11-02,Thoracic Spine Rotation,mobility,timed,1,,bodyweight,,53,
__DAYSPLIT__,2025-11-03,Pull,,,,,,,
2025-11-03,Barbell Rows,pull,reps,1,145,lbs,5,,Mood:3
2025-11-03,Barbell Rows,pull,reps,2,145,lbs,5,,
2025-11-03,Barbell Rows,pull,reps,3,145,lbs,5,,
2025-11-03,Dumbbell Curls,pull,reps,1,25,lbs,10,,Mood:3
2025-11-03,Dumbbell Curls,pull,reps,2,25,lbs,8,,
2025-11-03,Dumbbell Curls,pull,reps,3,25,lbs,8,,
2025-11-03,Lat Pulldowns,pull,reps,1,120,lbs,10,,Mood:3
2025-11-03,Lat Pulldowns,pull,reps,2,120,lbs,9,,
2025-11-03,Lat Pulldowns,pull,reps,3,120,lbs,8,,
__DAYSPLIT__,2025-11-04,Legs,,,,,,,
2025-11-04,Calf Raises,legs,reps,1,185,lbs,15,,
2025-11-04,Calf Raises,legs,reps,2,185,lbs,12,,
2025-11-04,Calf Raises,legs,reps,3,185,lbs,10,,
2025-11-04,Leg Press,legs,reps,1,305,lbs,10,,
2025-11-04,Leg Press,legs,reps,2,305,lbs,9,,
2025-11-04,Leg Press,legs,reps,3,305,lbs,8,,
2025-11-04,Romanian Deadlift,legs,reps,1,160,lbs,5,,Mood:2|Form:Slow on the way down|General:DOMS from last session still
2025-11-04,Romanian Deadlift,legs,reps,2,160,lbs,5,,
2025-11-04,Romanian Deadlift,legs,reps,3,160,lbs,5,,
2025-11-04,Squat,legs,reps,1,160,lbs,5,,Mood:2|Form:Keep chest up
2025-11-04,Squat,legs,reps,2,160,lbs,5,,
2025-11-04,Squat,legs,reps,3,160,lbs,5,,
2025-11-04,Walking Lunges,legs,reps,1,20,lbs,10,,
2025-11-04,Walking Lunges,legs,reps,2,20,lbs,10,,
2025-11-04,Walking Lunges,legs,reps,3,20,lbs,10,,
__DAYSPLIT__,2025-11-05,Push,,,,,,,
2025-11-05,Bench Press,push,reps,1,130,lbs,5,,
2025-11-05,Bench Press,push,reps,2,130,lbs,4,,
2025-11-05,Bench Press,push,reps,3,130,lbs,5,,
2025-11-05,Dips,push,reps,1,,bodyweight,7,,
2025-11-05,Dips,push,reps,2,,bodyweight,6,,
2025-11-05,Dips,push,reps,3,,bodyweight,5,,
2025-11-05,Incline Dumbbell Press,push,reps,1,45,lbs,10,,
2025-11-05,Incline Dumbbell Press,push,reps,2,45,lbs,9,,
2025-11-05,Incline Dumbbell Press,push,reps,3,45,lbs,8,,
2025-11-05,Lateral Raises,push,reps,1,20,lbs,12,,Mood:2|General:Baby steps
2025-11-05,Lateral Raises,push,reps,2,20,lbs,11,,
2025-11-05,Lateral Raises,push,reps,3,20,lbs,10,,
2025-11-05,Overhead Press,push,reps,1,90,lbs,5,,Mood:2|Form:No lean back
2025-11-05,Overhead Press,push,reps,2,90,lbs,5,,
2025-11-05,Overhead Press,push,reps,3,90,lbs,5,,
2025-11-05,Push Ups,push,reps,1,,bodyweight,16,,Mood:2
2025-11-05,Push Ups,push,reps,2,,bodyweight,12,,
2025-11-05,Push Ups,push,reps,3,,bodyweight,12,,
2025-11-05,Tricep Pushdowns,push,reps,1,55,lbs,12,,
2025-11-05,Tricep Pushdowns,push,reps,2,55,lbs,11,,
2025-11-05,Tricep Pushdowns,push,reps,3,55,lbs,10,,
__DAYSPLIT__,2025-11-07,Push,,,,,,,
2025-11-07,Bench Press,push,reps,1,130,lbs,5,,Mood:3|General:Everything hurts
2025-11-07,Bench Press,push,reps,2,130,lbs,5,,
2025-11-07,Bench Press,push,reps,3,130,lbs,5,,
2025-11-07,Dips,push,reps,1,,bodyweight,7,,
2025-11-07,Dips,push,reps,2,,bodyweight,6,,
2025-11-07,Dips,push,reps,3,,bodyweight,5,,
2025-11-07,Incline Dumbbell Press,push,reps,1,45,lbs,10,,
2025-11-07,Incline Dumbbell Press,push,reps,2,45,lbs,9,,
2025-11-07,Incline Dumbbell Press,push,reps,3,45,lbs,7,,
2025-11-07,Lateral Raises,push,reps,1,20,lbs,12,,
2025-11-07,Lateral Raises,push,reps,2,20,lbs,11,,
2025-11-07,Lateral Raises,push,reps,3,20,lbs,9,,
2025-11-07,Overhead Press,push,reps,1,90,lbs,5,,Mood:3
2025-11-07,Overhead Press,push,reps,2,90,lbs,5,,
2025-11-07,Overhead Press,push,reps,3,90,lbs,5,,
2025-11-07,Push Ups,push,reps,1,,bodyweight,16,,Mood:3
2025-11-07,Push Ups,push,reps,2,,bodyweight,14,,
2025-11-07,Push Ups,push,reps,3,,bodyweight,12,,
2025-11-07,Tricep Pushdowns,push,reps,1,55,lbs,11,,Mood:3
2025-11-07,Tricep Pushdowns,push,reps,2,55,lbs,11,,
2025-11-07,Tricep Pushdowns,push,reps,3,55,lbs,10,,
__DAYSPLIT__,2025-11-10,Push,,,,,,,
2025-11-10,Bench Press,push,reps,1,140,lbs,5,,Mood:4
2025-11-10,Bench Press,push,reps,2,140,lbs,5,,
2025-11-10,Bench Press,push,reps,3,140,lbs,5,,
2025-11-10,Dips,push,reps,1,,bodyweight,7,,Mood:4
2025-11-10,Dips,push,reps,2,,bodyweight,6,,
2025-11-10,Dips,push,reps,3,,bodyweight,5,,
2025-11-10,Incline Dumbbell Press,push,reps,1,50,lbs,10,,
2025-11-10,Incline Dumbbell Press,push,reps,2,50,lbs,9,,
2025-11-10,Incline Dumbbell Press,push,reps,3,50,lbs,8,,
2025-11-10,Lateral Raises,push,reps,1,20,lbs,13,,Mood:4
2025-11-10,Lateral Raises,push,reps,2,20,lbs,11,,
2025-11-10,Lateral Raises,push,reps,3,20,lbs,11,,
2025-11-10,Overhead Press,push,reps,1,95,lbs,5,,Mood:4|Form:Wrist position better
2025-11-10,Overhead Press,push,reps,2,95,lbs,5,,
2025-11-10,Overhead Press,push,reps,3,95,lbs,5,,
2025-11-10,Push Ups,push,reps,1,,bodyweight,17,,Mood:4
2025-11-10,Push Ups,push,reps,2,,bodyweight,14,,
2025-11-10,Push Ups,push,reps,3,,bodyweight,12,,
2025-11-10,Tricep Pushdowns,push,reps,1,55,lbs,12,,Mood:4
2025-11-10,Tricep Pushdowns,push,reps,2,55,lbs,11,,
2025-11-10,Tricep Pushdowns,push,reps,3,55,lbs,10,,
__DAYSPLIT__,2025-11-12,Legs,,,,,,,
2025-11-12,Calf Raises,legs,reps,1,190,lbs,15,,
2025-11-12,Calf Raises,legs,reps,2,190,lbs,12,,
2025-11-12,Calf Raises,legs,reps,3,190,lbs,10,,
2025-11-12,Leg Curls,legs,reps,1,80,lbs,10,,Mood:3|General:Quick session before work
2025-11-12,Leg Curls,legs,reps,2,80,lbs,9,,
2025-11-12,Leg Curls,legs,reps,3,80,lbs,8,,
2025-11-12,Leg Press,legs,reps,1,315,lbs,9,,Mood:3
2025-11-12,Leg Press,legs,reps,2,315,lbs,8,,
2025-11-12,Leg Press,legs,reps,3,315,lbs,8,,
2025-11-12,Romanian Deadlift,legs,reps,1,165,lbs,5,,Mood:3|Form:Slow on the way down
2025-11-12,Romanian Deadlift,legs,reps,2,165,lbs,5,,
2025-11-12,Romanian Deadlift,legs,reps,3,165,lbs,5,,
2025-11-12,Squat,legs,reps,1,165,lbs,5,,Mood:3|Form:Depth looking good
2025-11-12,Squat,legs,reps,2,165,lbs,5,,
2025-11-12,Squat,legs,reps,3,165,lbs,5,,
2025-11-12,Walking Lunges,legs,reps,1,20,lbs,9,,Mood:3
2025-11-12,Walking Lunges,legs,reps,2,20,lbs,10,,
2025-11-12,Walking Lunges,legs,reps,3,20,lbs,10,,
__DAYSPLIT__,2025-11-15,Push,,,,,,,
2025-11-15,Bench Press,push,reps,1,140,lbs,5,,Mood:2|Form:Keep shoulder blades pinched
2025-11-15,Bench Press,push,reps,2,140,lbs,5,,
2025-11-15,Bench Press,push,reps,3,140,lbs,5,,
2025-11-15,Dips,push,reps,1,,bodyweight,7,,
2025-11-15,Dips,push,reps,2,,bodyweight,6,,
2025-11-15,Dips,push,reps,3,,bodyweight,5,,
2025-11-15,Incline Dumbbell Press,push,reps,1,50,lbs,9,,
2025-11-15,Incline Dumbbell Press,push,reps,2,50,lbs,9,,
2025-11-15,Incline Dumbbell Press,push,reps,3,50,lbs,8,,
2025-11-15,Lateral Raises,push,reps,1,20,lbs,13,,Mood:2
2025-11-15,Lateral Raises,push,reps,2,20,lbs,12,,
2025-11-15,Lateral Raises,push,reps,3,20,lbs,11,,
2025-11-15,Overhead Press,push,reps,1,95,lbs,5,,Mood:2|Form:Shoulders felt stable
2025-11-15,Overhead Press,push,reps,2,95,lbs,4,,
2025-11-15,Overhead Press,push,reps,3,95,lbs,5,,
2025-11-15,Push Ups,push,reps,1,,bodyweight,17,,
2025-11-15,Push Ups,push,reps,2,,bodyweight,14,,
2025-11-15,Push Ups,push,reps,3,,bodyweight,12,,
2025-11-15,Tricep Pushdowns,push,reps,1,55,lbs,12,,Mood:2
2025-11-15,Tricep Pushdowns,push,reps,2,55,lbs,11,,
2025-11-15,Tricep Pushdowns,push,reps,3,55,lbs,10,,
__DAYSPLIT__,2025-11-16,Pull,,,,,,,
2025-11-16,Barbell Rows,pull,reps,1,150,lbs,5,,Mood:4
2025-11-16,Barbell Rows,pull,reps,2,150,lbs,4,,
2025-11-16,Barbell Rows,pull,reps,3,150,lbs,5,,
2025-11-16,Dumbbell Curls,pull,reps,1,25,lbs,10,,Mood:4
2025-11-16,Dumbbell Curls,pull,reps,2,25,lbs,9,,
2025-11-16,Dumbbell Curls,pull,reps,3,25,lbs,8,,
2025-11-16,Lat Pulldowns,pull,reps,1,120,lbs,10,,Mood:4
2025-11-16,Lat Pulldowns,pull,reps,2,120,lbs,9,,
2025-11-16,Lat Pulldowns,pull,reps,3,120,lbs,8,,
__DAYSPLIT__,2025-11-17,Legs,,,,,,,
2025-11-17,Calf Raises,legs,reps,1,195,lbs,14,,Mood:3
2025-11-17,Calf Raises,legs,reps,2,195,lbs,12,,
2025-11-17,Calf Raises,legs,reps,3,195,lbs,11,,
2025-11-17,Leg Curls,legs,reps,1,85,lbs,10,,Mood:3
2025-11-17,Leg Curls,legs,reps,2,85,lbs,9,,
2025-11-17,Leg Curls,legs,reps,3,85,lbs,8,,
2025-11-17,Leg Press,legs,reps,1,320,lbs,10,,
2025-11-17,Leg Press,legs,reps,2,320,lbs,9,,
2025-11-17,Leg Press,legs,reps,3,320,lbs,8,,
2025-11-17,Romanian Deadlift,legs,reps,1,165,lbs,5,,Mood:3|Form:Keep bar close
2025-11-17,Romanian Deadlift,legs,reps,2,165,lbs,5,,
2025-11-17,Romanian Deadlift,legs,reps,3,165,lbs,5,,
2025-11-17,Squat,legs,reps,1,165,lbs,6,,Mood:2
2025-11-17,Squat,legs,reps,2,165,lbs,6,,
2025-11-17,Squat,legs,reps,3,165,lbs,5,,
2025-11-17,Walking Lunges,legs,reps,1,25,lbs,10,,
2025-11-17,Walking Lunges,legs,reps,2,25,lbs,10,,
2025-11-17,Walking Lunges,legs,reps,3,25,lbs,10,,
__DAYSPLIT__,2025-11-20,Pull,,,,,,,
2025-11-20,Barbell Rows,pull,reps,1,150,lbs,5,,Mood:4|General:Late session. Gym was dead. Perfect.
2025-11-20,Barbell Rows,pull,reps,2,150,lbs,4,,
2025-11-20,Barbell Rows,pull,reps,3,150,lbs,5,,
2025-11-20,Dumbbell Curls,pull,reps,1,30,lbs,10,,
2025-11-20,Dumbbell Curls,pull,reps,2,30,lbs,10,,
2025-11-20,Dumbbell Curls,pull,reps,3,30,lbs,8,,
2025-11-20,Lat Pulldowns,pull,reps,1,120,lbs,10,,
2025-11-20,Lat Pulldowns,pull,reps,2,120,lbs,10,,
2025-11-20,Lat Pulldowns,pull,reps,3,120,lbs,8,,
__DAYSPLIT__,2025-11-21,Legs,,,,,,,
2025-11-21,Calf Raises,legs,reps,1,195,lbs,15,,
2025-11-21,Calf Raises,legs,reps,2,195,lbs,12,,
2025-11-21,Calf Raises,legs,reps,3,195,lbs,11,,
2025-11-21,Leg Curls,legs,reps,1,85,lbs,10,,Mood:4
2025-11-21,Leg Curls,legs,reps,2,85,lbs,9,,
2025-11-21,Leg Curls,legs,reps,3,85,lbs,8,,
2025-11-21,Leg Press,legs,reps,1,320,lbs,9,,
2025-11-21,Leg Press,legs,reps,2,320,lbs,9,,
2025-11-21,Leg Press,legs,reps,3,320,lbs,8,,
2025-11-21,Romanian Deadlift,legs,reps,1,165,lbs,5,,
2025-11-21,Romanian Deadlift,legs,reps,2,165,lbs,5,,
2025-11-21,Romanian Deadlift,legs,reps,3,165,lbs,4,,
2025-11-21,Squat,legs,reps,1,165,lbs,6,,Mood:2
2025-11-21,Squat,legs,reps,2,165,lbs,6,,
2025-11-21,Squat,legs,reps,3,165,lbs,5,,
2025-11-21,Walking Lunges,legs,reps,1,25,lbs,10,,Mood:4
2025-11-21,Walking Lunges,legs,reps,2,25,lbs,9,,
2025-11-21,Walking Lunges,legs,reps,3,25,lbs,10,,
__DAYSPLIT__,2025-11-23,Pull,,,,,,,
2025-11-23,Barbell Rows,pull,reps,1,150,lbs,5,,
2025-11-23,Barbell Rows,pull,reps,2,150,lbs,5,,
2025-11-23,Barbell Rows,pull,reps,3,150,lbs,4,,
2025-11-23,Dumbbell Curls,pull,reps,1,30,lbs,10,,
2025-11-23,Dumbbell Curls,pull,reps,2,30,lbs,10,,
2025-11-23,Dumbbell Curls,pull,reps,3,30,lbs,8,,
2025-11-23,Lat Pulldowns,pull,reps,1,120,lbs,10,,Mood:3|General:Recovery drink after. Getting serious
2025-11-23,Lat Pulldowns,pull,reps,2,120,lbs,10,,
2025-11-23,Lat Pulldowns,pull,reps,3,120,lbs,8,,
__DAYSPLIT__,2025-11-24,Pull,,,,,,,
2025-11-24,Barbell Rows,pull,reps,1,155,lbs,5,,Mood:4|General:Shoulder feels so much better
2025-11-24,Barbell Rows,pull,reps,2,155,lbs,5,,
2025-11-24,Barbell Rows,pull,reps,3,155,lbs,5,,
2025-11-24,Dumbbell Curls,pull,reps,1,30,lbs,11,,
2025-11-24,Dumbbell Curls,pull,reps,2,30,lbs,10,,
2025-11-24,Dumbbell Curls,pull,reps,3,30,lbs,9,,
2025-11-24,Lat Pulldowns,pull,reps,1,125,lbs,11,,Mood:4
2025-11-24,Lat Pulldowns,pull,reps,2,125,lbs,10,,
2025-11-24,Lat Pulldowns,pull,reps,3,125,lbs,9,,
__DAYSPLIT__,2025-11-25,Legs,,,,,,,
2025-11-25,Calf Raises,legs,reps,1,200,lbs,14,,
2025-11-25,Calf Raises,legs,reps,2,200,lbs,13,,
2025-11-25,Calf Raises,legs,reps,3,200,lbs,11,,
2025-11-25,Leg Curls,legs,reps,1,85,lbs,9,,Mood:4
2025-11-25,Leg Curls,legs,reps,2,85,lbs,9,,
2025-11-25,Leg Curls,legs,reps,3,85,lbs,8,,
2025-11-25,Leg Press,legs,reps,1,325,lbs,10,,Mood:4|Form:Dont lock knees
2025-11-25,Leg Press,legs,reps,2,325,lbs,9,,
2025-11-25,Leg Press,legs,reps,3,325,lbs,8,,
2025-11-25,Romanian Deadlift,legs,reps,1,165,lbs,5,,Mood:4|Form:Slow on the way down
2025-11-25,Romanian Deadlift,legs,reps,2,165,lbs,5,,
2025-11-25,Romanian Deadlift,legs,reps,3,165,lbs,5,,
2025-11-25,Squat,legs,reps,1,170,lbs,6,,Mood:4|Form:Work on depth
2025-11-25,Squat,legs,reps,2,170,lbs,6,,
2025-11-25,Squat,legs,reps,3,170,lbs,5,,
2025-11-25,Walking Lunges,legs,reps,1,25,lbs,10,,
2025-11-25,Walking Lunges,legs,reps,2,25,lbs,10,,
2025-11-25,Walking Lunges,legs,reps,3,25,lbs,9,,
__DAYSPLIT__,2025-11-27,Pull,,,,,,,
2025-11-27,Barbell Rows,pull,reps,1,155,lbs,5,,Mood:3|Form:No momentum|General:Recovery drink after. Getting serious
2025-11-27,Barbell Rows,pull,reps,2,155,lbs,5,,
2025-11-27,Barbell Rows,pull,reps,3,155,lbs,5,,
2025-11-27,Dumbbell Curls,pull,reps,1,30,lbs,11,,
2025-11-27,Dumbbell Curls,pull,reps,2,30,lbs,10,,
2025-11-27,Dumbbell Curls,pull,reps,3,30,lbs,9,,
2025-11-27,Lat Pulldowns,pull,reps,1,125,lbs,11,,
2025-11-27,Lat Pulldowns,pull,reps,2,125,lbs,9,,
2025-11-27,Lat Pulldowns,pull,reps,3,125,lbs,9,,
__DAYSPLIT__,2025-11-29,Legs,,,,,,,
2025-11-29,Calf Raises,legs,reps,1,200,lbs,15,,Mood:2
2025-11-29,Calf Raises,legs,reps,2,200,lbs,13,,
2025-11-29,Calf Raises,legs,reps,3,200,lbs,11,,
2025-11-29,Leg Curls,legs,reps,1,85,lbs,10,,Mood:2|General:Good mind-muscle connection today
2025-11-29,Leg Curls,legs,reps,2,85,lbs,9,,
2025-11-29,Leg Curls,legs,reps,3,85,lbs,8,,
2025-11-29,Leg Press,legs,reps,1,325,lbs,10,,Mood:2
2025-11-29,Leg Press,legs,reps,2,325,lbs,9,,
2025-11-29,Leg Press,legs,reps,3,325,lbs,7,,
2025-11-29,Romanian Deadlift,legs,reps,1,165,lbs,5,,Mood:2
2025-11-29,Romanian Deadlift,legs,reps,2,165,lbs,5,,
2025-11-29,Romanian Deadlift,legs,reps,3,165,lbs,5,,
2025-11-29,Squat,legs,reps,1,170,lbs,6,,Mood:2
2025-11-29,Squat,legs,reps,2,170,lbs,6,,
2025-11-29,Squat,legs,reps,3,170,lbs,5,,
2025-11-29,Walking Lunges,legs,reps,1,25,lbs,10,,
2025-11-29,Walking Lunges,legs,reps,2,25,lbs,10,,
2025-11-29,Walking Lunges,legs,reps,3,25,lbs,10,,
__DAYSPLIT__,2025-12-02,Push,,,,,,,
2025-12-02,Bench Press,push,reps,1,140,lbs,5,,Mood:3|Form:Full range of motion
2025-12-02,Bench Press,push,reps,2,140,lbs,5,,
2025-12-02,Bench Press,push,reps,3,140,lbs,5,,
2025-12-02,Dips,push,reps,1,,bodyweight,8,,Mood:3
2025-12-02,Dips,push,reps,2,,bodyweight,7,,
2025-12-02,Dips,push,reps,3,,bodyweight,5,,
2025-12-02,Incline Dumbbell Press,push,reps,1,50,lbs,11,,Mood:3
2025-12-02,Incline Dumbbell Press,push,reps,2,50,lbs,10,,
2025-12-02,Incline Dumbbell Press,push,reps,3,50,lbs,9,,
2025-12-02,Lateral Raises,push,reps,1,25,lbs,13,,Mood:3
2025-12-02,Lateral Raises,push,reps,2,25,lbs,12,,
2025-12-02,Lateral Raises,push,reps,3,25,lbs,11,,
2025-12-02,Overhead Press,push,reps,1,95,lbs,4,,
2025-12-02,Overhead Press,push,reps,2,95,lbs,5,,
2025-12-02,Overhead Press,push,reps,3,95,lbs,5,,
2025-12-02,Push Ups,push,reps,1,,bodyweight,18,,Mood:3
2025-12-02,Push Ups,push,reps,2,,bodyweight,16,,
2025-12-02,Push Ups,push,reps,3,,bodyweight,14,,
2025-12-02,Tricep Pushdowns,push,reps,1,55,lbs,13,,
2025-12-02,Tricep Pushdowns,push,reps,2,55,lbs,11,,
2025-12-02,Tricep Pushdowns,push,reps,3,55,lbs,11,,
__DAYSPLIT__,2025-12-03,Pull,,,,,,,
2025-12-03,Barbell Rows,pull,reps,1,160,lbs,5,,Mood:3|Form:Keep back flat
2025-12-03,Barbell Rows,pull,reps,2,160,lbs,5,,
2025-12-03,Barbell Rows,pull,reps,3,160,lbs,5,,
2025-12-03,Dumbbell Curls,pull,reps,1,30,lbs,11,,Mood:3
2025-12-03,Dumbbell Curls,pull,reps,2,30,lbs,10,,
2025-12-03,Dumbbell Curls,pull,reps,3,30,lbs,9,,
2025-12-03,Lat Pulldowns,pull,reps,1,130,lbs,10,,
2025-12-03,Lat Pulldowns,pull,reps,2,130,lbs,10,,
2025-12-03,Lat Pulldowns,pull,reps,3,130,lbs,9,,
__DAYSPLIT__,2025-12-05,Push,,,,,,,
2025-12-05,Bench Press,push,reps,1,140,lbs,5,,Mood:4|Form:Keep elbows tucked
2025-12-05,Bench Press,push,reps,2,140,lbs,5,,
2025-12-05,Bench Press,push,reps,3,140,lbs,5,,
2025-12-05,Dips,push,reps,1,,bodyweight,8,,
2025-12-05,Dips,push,reps,2,,bodyweight,7,,
2025-12-05,Dips,push,reps,3,,bodyweight,6,,
2025-12-05,Incline Dumbbell Press,push,reps,1,50,lbs,11,,Mood:3
2025-12-05,Incline Dumbbell Press,push,reps,2,50,lbs,10,,
2025-12-05,Incline Dumbbell Press,push,reps,3,50,lbs,9,,
2025-12-05,Lateral Raises,push,reps,1,25,lbs,13,,Mood:3
2025-12-05,Lateral Raises,push,reps,2,25,lbs,12,,
2025-12-05,Lateral Raises,push,reps,3,25,lbs,11,,
2025-12-05,Overhead Press,push,reps,1,95,lbs,5,,Mood:3
2025-12-05,Overhead Press,push,reps,2,95,lbs,5,,
2025-12-05,Overhead Press,push,reps,3,95,lbs,5,,
2025-12-05,Push Ups,push,reps,1,,bodyweight,18,,
